"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"AMASS_XT30PW-M_1x02_P2.50mm_Horizontal";1;"~";;;
2;"U5";"IN74LS04N";1;"~";;;
3;"U3";"MODULE_102010388";1;"XIAO-SAMD21-DIP";;;
4;"U4";"Molex_2x2_4.2mm";1;"~";;;
5;"U1";"W5500";1;"~";;;
